 time step =            1 ;
  0;  1;  0;  0;
  0;  0;  0;  1;
  0;  0;  0;  0;
  0;  0;  0;  0;
 time step =            2 ;
  0;  2;  0;  0;
  0;  0;  0;  0;
  0;  0;  0;  0;
  0;  0;  0;  0;
 time step =            3 ;
  1;  3;  0;  0;
  1;  1;  1;  1;
  0;  1;  1;  0;
  0;  0;  0;  1;
 time step =            4 ;
  0;  4;  0;  0;
  0;  2;  0;  0;
  0;  0;  0;  0;
  0;  0;  0;  0;
 time step =            5 ;
  1;  3;  1;  0;
  0;  3;  0;  0;
  0;  0;  1;  1;
  0;  1;  0;  1;
 time step =            6 ;
  0;  4;  0;  0;
  0;  2;  0;  0;
  0;  0;  0;  2;
  0;  0;  0;  0;
 time step =            7 ;
  0;  5;  0;  0;
  0;  3;  0;  0;
  0;  0;  1;  3;
  0;  0;  0;  1;
 time step =            8 ;
  0;  6;  0;  0;
  0;  4;  0;  0;
  0;  0;  2;  2;
  0;  0;  1;  0;
 time step =            9 ;
  1;  7;  0;  0;
  1;  5;  0;  0;
  0;  0;  3;  3;
  0;  0;  0;  1;
 time step =           10 ;
  0;  6;  0;  0;
  0;  6;  0;  0;
  0;  0;  2;  4;
  0;  0;  0;  0;
