 time step =            1 ;
  0.116087E+00;  0.134612E+00;  0.157732E+00;  0.134457E+00;  0.112305E+00;  0.108807E+00;  0.112283E+00;  0.134303E+00;  0.157439E+00;  0.134458E+00;
  0.122848E+00;  0.157732E+00;  0.201318E+00;  0.157439E+00;  0.115676E+00;  0.109083E+00;  0.115676E+00;  0.157439E+00;  0.201318E+00;  0.157732E+00;
  0.116087E+00;  0.134458E+00;  0.157439E+00;  0.134303E+00;  0.112283E+00;  0.108807E+00;  0.112305E+00;  0.134457E+00;  0.157732E+00;  0.134612E+00;
  0.110162E+00;  0.112328E+00;  0.115676E+00;  0.112283E+00;  0.109053E+00;  0.108566E+00;  0.109607E+00;  0.116064E+00;  0.122848E+00;  0.116087E+00;
  0.112349E+00;  0.108961E+00;  0.109084E+00;  0.108806E+00;  0.108545E+00;  0.108655E+00;  0.112304E+00;  0.134457E+00;  0.157730E+00;  0.134459E+00;
  0.116228E+00;  0.112575E+00;  0.115679E+00;  0.112283E+00;  0.109056E+00;  0.108813E+00;  0.115673E+00;  0.157439E+00;  0.201314E+00;  0.157462E+00;
  0.116064E+00;  0.134457E+00;  0.157439E+00;  0.134303E+00;  0.112283E+00;  0.108806E+00;  0.112283E+00;  0.134303E+00;  0.157439E+00;  0.134457E+00;
  0.116228E+00;  0.157462E+00;  0.201314E+00;  0.157439E+00;  0.115673E+00;  0.108813E+00;  0.109056E+00;  0.112283E+00;  0.115679E+00;  0.112575E+00;
  0.112349E+00;  0.134459E+00;  0.157730E+00;  0.134457E+00;  0.112304E+00;  0.108655E+00;  0.108545E+00;  0.108806E+00;  0.109084E+00;  0.108961E+00;
  0.110162E+00;  0.116087E+00;  0.122848E+00;  0.116064E+00;  0.109607E+00;  0.108566E+00;  0.109053E+00;  0.112283E+00;  0.115676E+00;  0.112328E+00;
 time step =            5 ;
  0.141892E+00;  0.138395E+00;  0.157886E+00;  0.134459E+00;  0.112305E+00;  0.108809E+00;  0.112437E+00;  0.138087E+00;  0.183245E+00;  0.183398E+00;
