 timeStep;vegDensity;totalET;totalBE;totalStore; totalDischarge; totalOutflow;
  1;  0.125000E+00;       409;       292;       899;      8248;1605939616;
  2;  0.125000E+00;      1173;       306;      1020;     10140;1605939616;
  3;  0.687500E+00;      1676;       218;       726;      2623;1605939616;
  4;  0.375000E+00;      1119;       286;       921;      7920;1605939616;
  5;  0.750000E+00;      1519;       227;       775;      3119;1605939616;
  6;  0.500000E+00;       893;       275;      1207;      6568;1605939616;
  7;  0.812500E+00;      1123;       258;      1426;      4605;1605939616;
  8;  0.937500E+00;      1395;       257;      1374;      4544;1605939616;
  9;  0.131250E+01;      1352;       251;      1371;      3480;1605939616;
 10;  0.112500E+01;      1054;       271;      1646;      5155;1605939616;
